date,classification,daily_net_pnl,daily_volume_usd,daily_trades,daily_accounts
2024-06-07,Extreme Greed,8529.504751999999,1098588.76,440,3
2024-06-08,Greed,95.065702,97351.88,29,2
2024-06-09,Extreme Greed,-7.515775,22410.22,17,2
2024-06-10,Greed,16.570477,46587.93,53,2
2024-06-11,Greed,4190.703598,373279.92,123,3
2024-06-12,Greed,-21950.45291,193407.96,254,2
2024-06-13,Greed,6599.357365,132577.22,79,2
2024-06-14,Greed,10219.638533,139868.66,31,2
2024-06-15,Greed,3118.535797,718350.25,78,2
2024-06-16,Greed,-8.832277,25235.079999999998,11,1
2024-06-17,Greed,10470.56935,368380.12,38,2
2024-06-18,Greed,215.416102,263314.79,25,2
2024-06-19,Greed,4748.805201,417071.12,61,3
2024-06-20,Greed,57464.986976,207990.8,39,3
2024-06-21,Greed,712.281105,176264.49,80,2
2024-06-22,Neutral,716.343183,169594.27000000002,24,2
2024-06-23,Greed,-0.17921199999999998,1792.12,5,1
2024-06-24,Neutral,-103.551001,403002.8,31,2
2024-06-25,Fear,4833.268454,103099.08,49,1
2024-06-26,Neutral,4070.177882,365190.66000000003,72,2
2024-06-27,Fear,-45.556012,130486.95,30,2
2024-06-29,Fear,5690.030914,280095.11,75,2
2024-06-30,Neutral,-17.057669,30520.69,14,2
2024-07-01,Neutral,4640.516283,362670.14999999997,64,2
2024-07-02,Neutral,2409.794386,33347.47,18,1
2024-07-03,Neutral,1055.7586019999999,179600.66,18,2
2024-07-04,Fear,-113.02464499999999,430568.01,25,2
2024-07-05,Fear,-95.130717,272289.89,32,2
2024-07-06,Fear,-235.481982,2490.17,24,1
2024-07-07,Fear,61.379067,498.75,10,1
2024-07-08,Fear,-0.0156,497.64,1,1
2024-07-09,Fear,648.586844,2736.45,15,1
2024-07-10,Fear,11736.969867,687900.21,56,2
2024-07-11,Fear,1817.351639,169887.02,19,1
2024-07-12,Fear,1380.9606250000002,89582.97,19,2
2024-07-13,Fear,2864.9016269999997,139189.19,17,2
2024-07-14,Fear,-29.400389,84001.13,7,1
2024-07-15,Neutral,-69.995769,198344.85,26,2
2024-07-16,Greed,-50.400180999999996,144000.57,22,1
2024-07-17,Greed,1652.667564,626005.53,351,3
2024-07-18,Greed,3576.487647,649704.85,60,2
2024-07-19,Greed,2103.296826,150269.42,23,2
2024-07-20,Greed,2218.411148,244362.21,266,2
2024-07-21,Greed,-3025.440227,234307.46,448,2
2024-07-22,Greed,1419.66034,304213.8,154,2
2024-07-23,Greed,89831.05908,358526.54,370,3
2024-07-24,Greed,570.4942,69207.93,90,5
2024-07-25,Greed,692.5523440000001,528555.31,78,3
2024-07-26,Greed,2559.946098,548587.65,152,4
2024-07-27,Greed,6083.803762,905199.75,57,2
2024-07-28,Greed,572.159908,43254.68,16,2
2024-07-29,Greed,216.28477,327199.14,39,2
2024-07-30,Greed,-12.602264,36006.47,6,1
2024-07-31,Greed,736.113617,84506.54,43,2
2024-08-01,Neutral,58.98498099999998,227774.53,57,4
2024-08-02,Greed,636.847729,396320.37,63,3
2024-08-03,Fear,355.53659400000004,290532.86,37,5
2024-08-04,Fear,-123117.903118,1207744.07,127,5
2024-08-05,Fear,-13216.384327,420495.4,80,4
2024-08-06,Extreme Fear,204.696769,61478.38,107,2
2024-08-07,Fear,185.0370512,2492.77,33,3
2024-08-08,Extreme Fear,-47.360212,16299.35,9,2
2024-08-09,Neutral,17896.81689532,503204.86,144,5
2024-08-10,Fear,-50.0831879,11339.29,88,2
2024-08-11,Fear,806.845333,44230.21,24,2
2024-08-12,Fear,822.598605,54167.32,48,3
2024-08-13,Fear,194.148143,20797.87,23,3
