Account,classification,trades,total_net_pnl,avg_net_pnl,avg_size_usd,positive_trade_rate
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,58748.634777,438.42264758955224,4670.876492537313,50.74626865671642
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,227299.961959,294.4300025375648,1521.842163212435,63.730569948186535
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124241.448912,8282.7632608,8285.689333333334,100.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,391,-14582.432557240001,-37.2952239315601,573.057442455243,26.342710997442452
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,9879.3437842741,10.691930502461148,539.9225108225108,37.66233766233766
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,3954.577814754,6.028319839564024,474.19975609756096,43.90243902439025
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,36188.16020841,10.649841144323132,490.628555032372,35.05002942907593
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150,66673.22038962,21.166101710990475,542.1092603174603,34.095238095238095
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,164735.50792,167.07455164300202,10589.94378296146,30.93306288032454
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396,293174.58315,210.0104463825215,13057.168868194842,40.902578796561606
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,96587.23313881,143.73100169465775,5457.3741666666665,75.29761904761905
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,94932.788648,83.6412234784141,5601.335788546256,59.55947136563877
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,20290.945392,121.50266701796409,5260.990299401197,35.92814371257485
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,71421.679577,192.51126570619948,25119.228652291105,42.857142857142854
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1156,-24940.439150000006,-21.574774351211076,15510.035536332178,33.996539792387544
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,38558.853083999995,30.194873205951446,17120.53617071261,42.364917776037586
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,67854.162537,29.07204907326478,14903.147896315337,34.233076263924595
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,115357.146265,47.16154794153721,18714.972399836468,33.11529026982829
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,346,-71659.388582,-207.10805948554912,9644.015086705202,30.346820809248555
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,329571.048489,55.10300091773951,37633.67887644207,35.9806052499582
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,367919.83523342,146.17395122503774,27702.0510727056,55.423122765196666
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,138178.797436,43.60328098327548,38497.727718523194,37.48816661407384
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,-12.38025211,-0.05551682560538117,3261.5788789237668,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,1994.9401213771,13.95063021942028,1024.4990209790208,30.069930069930066
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,1955.9349810805,5.448286855377437,849.9995264623956,21.72701949860724
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,1251.01391019,20.508424757213113,613.8450819672132,37.704918032786885
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,30175.492673239998,125.20951316697095,551.6468879668049,50.62240663900415
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,73166.99900918,427.8771871881871,619.9583040935672,89.47368421052632
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509,33314.94320767,65.45175482842829,6242.196836935167,61.29666011787819
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,311,-58347.14341496,-187.61139361723474,4277.756430868168,16.077170418006432
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,-10.599979000000001,-0.13417694936708863,1341.7722784810126,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,453028.0488,763.9596101180439,8515.413979763913,31.703204047217536
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,98,-181.119965,-1.8481629081632653,18481.63244897959,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,198844.447855,899.7486328280543,2613.952760180995,42.081447963800905
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431,144451.719339,335.1548012505801,1465.772505800464,64.50116009280742
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,57,-4540.258551,-79.65365878947368,2478.0915789473684,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,488,20979.495518,42.99076950409836,2096.6078483606557,12.295081967213115
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,227,522.60702384,2.302233585198238,2593.1634801762116,0.4405286343612335
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316,25462.642353,80.57798212974683,3415.97420886076,91.45569620253164
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1664,48858.149333,29.36186858954327,1993.2188882211537,77.88461538461539
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1464,-3037.1473779999997,-2.074554219945355,1806.9995150273223,71.51639344262296
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2618,95212.228143,36.3683071592819,2491.9091978609626,84.18640183346065
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3831,210004.27511832,54.81709086878622,3175.167734273036,90.18533020099191
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,825,2808.8609159999996,3.4046798981818176,3452.067006060606,47.39393939393939
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,544,3764.572228,6.920169536764706,3684.659411764706,46.875
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,104,-470.88240288,-4.527715412307692,6189.474711538462,13.461538461538462
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,83,6758.159890860001,81.42361314289158,3970.946987951807,53.01204819277109
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,3,1259.51551206,419.83850402,6260.16,33.33333333333333
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159,12620.646661,79.3751362327044,5132.397861635221,27.67295597484277
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745,150815.218681,86.42705941604585,2389.899759312321,29.68481375358166
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946,47316.25438,50.01718221987315,2159.362156448203,30.655391120507396
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1653,-360769.31587600004,-218.25124977374472,1759.3724621899578,54.68844525105868
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,98,-19183.31407892,-195.74810284612246,2105.433775510204,5.1020408163265305
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49,-4926.823461,-100.54741757142857,5908.287346938776,20.408163265306122
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,55,237.36820358,4.315785519636363,1826.8996363636363,34.54545454545455
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,12219.7618271,8.54528799097902,2888.5457832167835,30.979020979020977
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297,54619.419093020006,183.90376798996635,24725.104646464646,48.148148148148145
